ts_unix	user_id	side	proc_state	frame_id	rep_id	rms	mdf	sampen	msesen	iemg	rms_norm	dmdf	dsampen	dmsesen	diemg	FI	FI_ema	CV_norm	FI_hybrid	FIh_ema
1760781973.4	user01	R	RUN	17607819734	19	237.15	137.58	2.27	1.16	186.26	1.12	-0.13	0.16	-0.34	0.08	-0.12	-0.13	0.18	-0.06	-0.04
1760781975.1	user01	R	RUN	17607819751	20	233.44	136.15	2.18	1.86	176.39	1.1	-0.14	0.11	0.06	0.02	0.01	-0.09	0.14	0.03	-0.02
1760781976.91	user01	R	RUN	17607819769	20	226.06	109.57	2.25	1.38	186.27	1.07	-0.31	0.14	-0.21	0.08	-0.12	-0.1	0.14	-0.06	-0.03
1760782012.79	user02	R	CALIB	17607820127	1	210.96	146.02	2.56	1.56	169.37	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1760782014.64	user02	R	RUN	17607820146	1	266.62	140.17	1.96	1.9	211.08	1.01	-0.04	-0.23	0.22	0.25	-0.0	-0.0	0.0	-0.0	-0.0
1760782016.47	user02	R	RUN	17607820164	1	215.2	130.41	2.24	1.11	168.05	0.82	-0.11	-0.13	-0.29	-0.01	-0.15	-0.05	0.0	-0.12	-0.04
1760782018.3	user02	R	RUN	17607820183	1	231.87	178.44	2.1	1.62	178.66	0.88	0.22	-0.18	0.04	0.05	0.03	-0.02	0.0	0.02	-0.02
1760782020.13	user02	R	RUN	17607820201	2	264.76	130.7	1.97	2.15	197.99	1.0	-0.1	-0.23	0.38	0.17	0.04	-0.01	0.4	0.11	0.02
1760782021.86	user02	R	RUN	17607820218	3	239.88	108.04	2.0	1.03	188.59	0.91	-0.26	-0.22	-0.34	0.11	-0.24	-0.08	0.32	-0.13	-0.03
1760782023.69	user02	R	RUN	17607820236	4	228.67	90.52	2.35	1.14	190.91	0.87	-0.38	-0.08	-0.27	0.13	-0.2	-0.11	0.09	-0.14	-0.06
1760782025.42	user02	R	RUN	17607820254	5	249.15	126.99	2.12	1.5	196.22	0.94	-0.13	-0.17	-0.04	0.16	-0.09	-0.11	0.07	-0.06	-0.06
1760782027.35	user02	R	RUN	17607820273	6	230.68	151.22	2.56	2.06	178.31	0.87	0.04	-0.0	0.32	0.05	0.13	-0.03	0.16	0.14	-0.0
1760782029.07	user02	R	RUN	17607820290	6	226.17	114.88	2.02	2.06	170.85	0.86	-0.21	-0.21	0.32	0.01	0.01	-0.02	0.16	0.04	0.01
1760782030.89	user02	R	RUN	17607820308	7	252.77	139.07	1.54	1.4	211.67	0.96	-0.05	-0.4	-0.1	0.25	-0.16	-0.06	0.16	-0.1	-0.02
1760782032.71	user02	R	RUN	17607820327	8	269.65	155.07	2.14	0.91	197.58	1.02	0.06	-0.16	-0.42	0.17	-0.18	-0.1	0.04	-0.14	-0.06
1760782034.43	user02	R	RUN	17607820344	9	215.95	138.07	1.79	1.28	182.53	0.82	-0.05	-0.3	-0.18	0.08	-0.15	-0.11	0.34	-0.05	-0.05
1760782036.25	user02	R	RUN	17607820362	10	273.1	153.28	2.12	1.86	194.33	1.04	0.05	-0.17	0.19	0.15	0.02	-0.07	0.31	0.08	-0.01
1760782038.07	user02	R	RUN	17607820380	13	256.01	123.71	1.94	1.57	195.87	0.97	-0.15	-0.24	0.01	0.16	-0.1	-0.08	0.14	-0.05	-0.03
